description,claimType
"central heating thermostat and controller not working, I have invoice/receipt",BOILER
Boiler has locked out and will not restart,BOILER
Items were stolen from my garage over night,BURGLARY
Someone broke into our garden shed and stole two bikes and two tools,BURGLARY
"The bathroom windows have fallen out, also damaged some roof tiles and the guinea pig run where it has fallen",ADBUILDINGS
Water leak from the shower cubicle in the bathroom. Water has penetrated through the kitchen ceiling and down the stairs wall and on the landing. A plumber has been to investigate and says it is leaking pipes between the tiles and plaster board walls. The shower cubicle unit and tiles need removing and the plaster board will need replacing.  I am unable to add photos to this form because it crashes for some reason but I do have photographic evidence that I will send if you provide an email address?,ESCAPEWATER
rising damp appeared on the ground floor,OTHER
"Our gate was destroyed by an overnight collision, presumably with a vehicle.",IMPACT
I was sitting in the living room and heard a loud bang come from the kitchen. This was closely followed by another loud bang and on inspection the tiles between the sink and the oven had split and cracked. The floor was raised either side of the cracks as if being pushed up by a bulging pipe. I lifted the cracked tiles to find concrete floor and no pipes of concern. I am unsure to what caused the tiles in the kitchen to crack. the condenser dryer was on at the time and I am unsure as to whether this contributed to the damage. the floor has been laid for four years and the dryer has been used the whole time without any previous issues.,ADBUILDINGS
The heat exchanger is leaking on my boiler,ESCAPEWATER
The garage was broken into,BURGLARY
Roof boards and guttering blew off in wind,STORM
wall has fallen down by brook,OTHER
We hadbeen having lunch in Morrison's cafe and I must have dislodged my hearing aid when I took my hat off. I never noticed it missing until I got home. I  returned to Morrisons but could not find it.,ADSPECIFIED
Suspected water leak from En-suite bathroom to the living room below. Noticed dripping in living room whilst Elise was in the shower. Living room ceiling is cracked with water dripping through.,ESCAPEWATER
Following a shower it was noticed that the ceiling in the living room developed a water spot which resulted in the ceiling developing a hole caused by the plaster board being saturated. Looking through the hole identifies water escaping from the shower cubicle from the front left.,ESCAPEWATER
DRAINS SMELL FROM SINK ANS KITCHEN,BLOCKEDDRAINS
Iron dropped on carpet,ADCONTENTS
I think There as been some kind of radiator leak in between the floor board  from third floor and now it is seaping through master bedroom below it was ok in afternoon. On the side wall and half way in the middle cieling it has bowed out and a passage for water has come out on cieling And flooding the floor. And tried to dry it with towels but it has soaked through the new carpets.  Its has short circuted the extention plug near the wall affecting the dehumidifier and tablet plugged in. and the wall is a mucky colour now was white before. We has only just painted and redocrated the whole house including this room with new carpets. Please help,ESCAPEWATER
the house was broken in and burgled,BURGLARY
"I was fitting my TV in the new flat and mishandled it causing the frame to bend and screen to crack. It will not turn on properly now, just beeps in error signal and then switches itself off.",ADCONTENTS
I had issues with blockages and foul smells coming from my toilet and bathroom facilities.  I called my local water board (Welsh Water) out who checked the drainage system with a camera.  They confirmed that there is a small crack/hole in the sewer pipe coming from my property but unfortunately it is a private sewer pipe and not owned by Welsh Water therefore my responsibility to repair.,BLOCKEDDRAINS
"burst pipes in loft in living room and the carpets damaged ankle deep in water,furniture damage,entire ceiing caved in",ESCAPEWATER
A bicycle was stolen,THEFTSPECIFIED
Yesterday I noticed that my watch was slow and had stopped. When I looked more closely I could see water in the watch face and at the back. The crown on the side seemed a bit loose. Water must therefore have got into the watch. The discolouration only became apparent this morning.,ADCONTENTS
"our drains stopped working. Under emergency cover with our bank, Blockbusters came and on further investigation found that the interceptor trap is broken. They have submitted their report separately. My husband has dealt with them so please contact him for more details (I have put his details below)",BLOCKEDDRAINS
My hot tank has started leaking water,ESCAPEWATER
The tv fell off the wall and has damaged the screen to a point beyond repair,ADCONTENTS
the outhouses have been broken into,BURGLARY
We have had a leak in the bath upstairs which has come through the living room ceiling downstairs.,ESCAPEWATER
"House broken into, burgled",BURGLARY
"on 25/1/19 we discovered an attempted burglary to our garage.  The door handle has been kicked off, the door damaged and finally a window smashed which triggered the alarm.  No property was taken.",BURGLARY
my wifes handbag was stolen from car,BURGLARY
"I was having a party on New Years Day and during the course of the party, my Guild Acoustic Guitar was damaged by people who attended.",VANDALISM
Was seems to have leaked from the shower area in the bathroom. Thought the ceiling and in to the living room,ESCAPEWATER
I have damaged the screen on my tv,ADCONTENTS
"Our tv has developed a fault and keeps going to a blank screen, I am unsure if it’s unsafe but it is unwatchable",ADCONTENTS
My property has been broken into,BURGLARY
4 Solar panels and the mounting frame on the roof of my garage was ripped off with the strong wind and landed in my neighbours yard damaging his vehicle and my sons pick up.,STORM
As we were wall hanging my new tv the flex with the plug on has hit the screen of my brand new TV,ADCONTENTS
